,dep,dep_pos,dep_w,pred
452,_PLACEHOLDER_SUB_ <- nsubj <- played -> conj -> drafted -> agent -> by -> pobj -> _PLACEHOLDER_OBJ_,VERB VERB ADP,_PLACEHOLDER_SUB_ played drafted by _PLACEHOLDER_OBJ_,www.freebase.com/base/sports/sports_draft_pick/team
453,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> flagship -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is flagship of _PLACEHOLDER_OBJ_,www.freebase.com/base/startrek/starship_from_star_trek/affiliation
454,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> institution -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is institution in _PLACEHOLDER_OBJ_,www.freebase.com/base/statistics/statistics_agency/geographic_scope
455,_PLACEHOLDER_SUB_ <- pobj <- of <- prep <- end <- nsubj <- left -> dobj -> _PLACEHOLDER_OBJ_,ADP NOUN VERB,_PLACEHOLDER_SUB_ of end left _PLACEHOLDER_OBJ_,www.freebase.com/base/supertopics/supertopic/related_topics
456,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> city -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN NOUN ADP,_PLACEHOLDER_OBJ_ is capital canton of _PLACEHOLDER_SUB_,www.freebase.com/base/switzerland/ch_canton/capital
457,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> municipality -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is municipality in _PLACEHOLDER_SUB_,www.freebase.com/base/switzerland/ch_district/district_seat
458,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> symbol -> relcl -> symbolises -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB,_PLACEHOLDER_OBJ_ is symbol symbolises _PLACEHOLDER_SUB_,www.freebase.com/base/symbols/symbol/symbolism
459,_PLACEHOLDER_OBJ_ <- nsubj <- occurred -> nsubj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ occurred _PLACEHOLDER_SUB_,www.freebase.com/base/tallships/tall_ship/events_participated_in
460,_PLACEHOLDER_OBJ_ <- nsubj <- was -> ccomp -> follows -> dobj -> _PLACEHOLDER_SUB_,VERB VERB,_PLACEHOLDER_OBJ_ was follows _PLACEHOLDER_SUB_,www.freebase.com/base/technologyofdoing/knowledge_worker_practice/agent
461,_PLACEHOLDER_SUB_ <- nsubjpass <- used -> prep -> in -> pobj -> methodologies -> prep -> as -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP NOUN ADP,_PLACEHOLDER_SUB_ used in methodologies as _PLACEHOLDER_OBJ_,www.freebase.com/base/technologyofdoing/knowledge_worker_practice/included_in
462,_PLACEHOLDER_SUB_ <- appos <- acronym <- nsubjpass <- expanded -> prep -> as -> pobj -> process -> compound -> _PLACEHOLDER_OBJ_,NOUN VERB ADP NOUN,_PLACEHOLDER_SUB_ acronym expanded as process _PLACEHOLDER_OBJ_,www.freebase.com/base/technologyofdoing/knowledge_worker_practice/parent_practice
463,_PLACEHOLDER_OBJ_ <- nsubj <- classified -> dobj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ classified _PLACEHOLDER_SUB_,www.freebase.com/base/terrorism/terrorist_organization/considered_terrorist_by
464,_PLACEHOLDER_SUB_ <- compound <- fabrics -> prep -> from -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is textile _PLACEHOLDER_OBJ_,www.freebase.com/base/textiles/textile/materials
465,_PLACEHOLDER_SUB_ <- nsubj <- is -> conj -> designed -> xcomp -> be -> attr -> _PLACEHOLDER_OBJ_,VERB VERB VERB,_PLACEHOLDER_SUB_ is designed be _PLACEHOLDER_OBJ_,www.freebase.com/base/textiles/textile/textile_construction_method
466,_PLACEHOLDER_OBJ_ <- compound <- fabrics -> prep -> from -> pobj -> _PLACEHOLDER_SUB_,NOUN ADP,_PLACEHOLDER_OBJ_ fabrics from _PLACEHOLDER_SUB_,www.freebase.com/base/textiles/textile_fiber/textiles_sourced_from_this
467,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> citizen -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ was citizen of _PLACEHOLDER_OBJ_,www.freebase.com/base/thatguy/locally_famous_person/location
468,_PLACEHOLDER_OBJ_ <- nsubj <- was -> attr -> member -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ was member of _PLACEHOLDER_SUB_,www.freebase.com/base/thesocialset/clique/clique_lead_member_s
469,_PLACEHOLDER_OBJ_ <- nsubj <- was -> attr -> one -> prep -> of -> pobj -> s -> appos -> _PLACEHOLDER_SUB_,VERB NUM ADP NOUN,_PLACEHOLDER_OBJ_ was one of s _PLACEHOLDER_SUB_,www.freebase.com/base/thesocialset/clique/clique_member_s
470,_PLACEHOLDER_OBJ_ <- nsubjpass <- covered -> npadvmod -> foal -> appos -> brother -> prep -> to -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN NOUN ADP,_PLACEHOLDER_OBJ_ covered foal brother to _PLACEHOLDER_SUB_,www.freebase.com/base/thoroughbredracing/thoroughbred_racehorse/dam
471,_PLACEHOLDER_OBJ_ <- appos <- stallion <- nsubjpass <- sired -> prep -> through -> pobj -> mare -> appos -> _PLACEHOLDER_SUB_,VERB NOUN NOUN ADP,_PLACEHOLDER_SUB_ covered foal brother to _PLACEHOLDER_OBJ_,www.freebase.com/base/thoroughbredracing/thoroughbred_racehorse/foal_if_this_horse_is_dam
472,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> son -> prep -> of -> pcomp -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ is by _PLACEHOLDER_SUB_,www.freebase.com/base/thoroughbredracing/thoroughbred_racehorse/foal_if_this_horse_is_sire
473,_PLACEHOLDER_OBJ_ <- nsubj <- sired -> ccomp -> _PLACEHOLDER_SUB_,VERB NOUN ADP PROPN,_PLACEHOLDER_OBJ_ was sire of Secretariat _PLACEHOLDER_SUB_,www.freebase.com/base/thoroughbredracing/thoroughbred_racehorse/sire
474,_PLACEHOLDER_OBJ_ <- nsubj <- was -> attr -> teacher -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ was teacher of _PLACEHOLDER_SUB_,www.freebase.com/base/tibetanbuddhism/lineage_member/student_of
475,_PLACEHOLDER_SUB_ -> relcl -> lost -> advcl -> finishing -> nsubj -> _PLACEHOLDER_OBJ_,VERB VERB,_PLACEHOLDER_SUB_ lost finishing _PLACEHOLDER_OBJ_,www.freebase.com/base/tournaments/tournament/participating_competitors
476,_PLACEHOLDER_OBJ_ -> relcl -> lost -> advcl -> finishing -> nsubj -> _PLACEHOLDER_SUB_,VERB VERB,_PLACEHOLDER_OBJ_ lost finishing _PLACEHOLDER_SUB_,www.freebase.com/base/tournaments/tournament_competitor/tournaments
477,_PLACEHOLDER_OBJ_ <- nsubjpass <- twinned -> prep -> with -> pobj -> city -> conj -> _PLACEHOLDER_SUB_,VERB ADP NOUN,_PLACEHOLDER_OBJ_ twinned with city _PLACEHOLDER_SUB_,www.freebase.com/base/twinnedtowns/twinned_town/twinned_with
478,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> design -> amod -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is typeface _PLACEHOLDER_OBJ_,www.freebase.com/base/typefaces/typeface/style_classification
479,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> family -> acl -> designed -> agent -> by -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ is typeface developed by _PLACEHOLDER_OBJ_,www.freebase.com/base/typefaces/typeface/typeface_creator
480,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> typeface -> acl -> designed -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ created by _PLACEHOLDER_SUB_,www.freebase.com/base/typefaces/typeface_creator/typefaces_created
481,_PLACEHOLDER_SUB_ <- nsubj <- crosses -> prep -> beneath -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP,_PLACEHOLDER_SUB_ crosses beneath _PLACEHOLDER_OBJ_,www.freebase.com/base/undergroundhumanthings/underground_object/underneath
482,_PLACEHOLDER_SUB_ -> acl -> located -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB VERB,_PLACEHOLDER_SUB_ Comprising contain _PLACEHOLDER_OBJ_,www.freebase.com/base/usnationalparks/us_national_park/state
483,_PLACEHOLDER_OBJ_ <- nsubj <- founded -> dobj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ founded _PLACEHOLDER_SUB_,www.freebase.com/base/usnris/nris_listing/significant_person
484,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB VERB NOUN ADP,_PLACEHOLDER_SUB_ spelled is type of _PLACEHOLDER_OBJ_,www.freebase.com/base/weapons/weapon/parent_weapon_type
485,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> show -> acl -> starring -> dobj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB,_PLACEHOLDER_SUB_ is show starring _PLACEHOLDER_OBJ_,www.freebase.com/base/webvideo/internet_video_actor/recurring_roles
486,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> series -> acl -> starring -> dobj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB,_PLACEHOLDER_SUB_ is series starring _PLACEHOLDER_OBJ_,www.freebase.com/base/webvideo/internet_video_series/series_creator
487,_PLACEHOLDER_OBJ_ <- appos <- name <- nsubj <- contains <- advcl <- finishing -> dobj -> maneuver -> appos -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_SUB_ was co of stable _PLACEHOLDER_OBJ_,www.freebase.com/base/wrestling/professional_wrestler/member_of_team
488,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> team -> relcl -> consisted -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ was team consisted of _PLACEHOLDER_OBJ_,www.freebase.com/base/wrestling/solo_wrestler_or_team/members
489,_PLACEHOLDER_SUB_ <- nsubj <- took -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP,_PLACEHOLDER_SUB_ took in _PLACEHOLDER_OBJ_,www.freebase.com/base/x2010fifaworldcupsouthafrica/fifa_world_cup/champion
490,_PLACEHOLDER_SUB_ <- nsubj <- took -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP,_PLACEHOLDER_SUB_ took in _PLACEHOLDER_OBJ_,www.freebase.com/base/x2010fifaworldcupsouthafrica/fifa_world_cup/host_country
491,_PLACEHOLDER_SUB_ <- dobj <- led -> prep -> to -> pobj -> round -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP NOUN ADP,_PLACEHOLDER_SUB_ led to round of _PLACEHOLDER_OBJ_,www.freebase.com/base/x2010fifaworldcupsouthafrica/fifa_world_cup/qualified_teams
492,"_PLACEHOLDER_SUB_ <- pobj <- With <- prep <- called -> cc -> ), -> parataxis -> was -> nsubj -> _PLACEHOLDER_OBJ_",ADP VERB CCONJ VERB,"_PLACEHOLDER_SUB_ With called ), was _PLACEHOLDER_OBJ_",www.freebase.com/base/x2010fifaworldcupsouthafrica/world_cup_participant/world_cup_team
493,_PLACEHOLDER_OBJ_ <- dobj <- led -> prep -> to -> pobj -> round -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB ADP NOUN ADP,_PLACEHOLDER_OBJ_ led to round of _PLACEHOLDER_SUB_,www.freebase.com/base/x2010fifaworldcupsouthafrica/world_cup_participation/world_cup
494,_PLACEHOLDER_OBJ_ <- advcl <- represented -> nsubj -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_SUB_ was member of squad _PLACEHOLDER_OBJ_,www.freebase.com/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad
495,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ is _PLACEHOLDER_OBJ_,www.freebase.com/base/yupgrade/user/topics
496,_PLACEHOLDER_SUB_ -> acl -> is -> attr -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is settlement _PLACEHOLDER_OBJ_,www.freebase.com/base/zionism/settlement/type_of_settlement
497,_PLACEHOLDER_OBJ_ <- nsubj <- returned -> prep -> to -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ returned to _PLACEHOLDER_SUB_,www.freebase.com/baseball/baseball_coach/historical_teams_coached
498,_PLACEHOLDER_SUB_ <- nsubj <- produced -> dobj -> team -> prep -> for -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ produced team for _PLACEHOLDER_OBJ_,www.freebase.com/baseball/baseball_division/league
499,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> one -> prep -> of -> pobj -> leagues -> appos -> _PLACEHOLDER_OBJ_,VERB NUM ADP NOUN,_PLACEHOLDER_SUB_ is one of leagues _PLACEHOLDER_OBJ_,www.freebase.com/baseball/baseball_league/sports_league
500,_PLACEHOLDER_SUB_ <- nsubj <- became -> attr -> manager -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ became manager of _PLACEHOLDER_OBJ_,www.freebase.com/baseball/baseball_manager/current_team_managed
501,_PLACEHOLDER_OBJ_ <- nsubj <- played -> prep -> for -> pobj -> seasons -> prep -> with -> pobj -> _PLACEHOLDER_SUB_,VERB ADP NOUN ADP,_PLACEHOLDER_OBJ_ played for seasons with _PLACEHOLDER_SUB_,www.freebase.com/baseball/baseball_player/batting_stats
502,_PLACEHOLDER_SUB_ -> acl -> is -> attr -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is player _PLACEHOLDER_OBJ_,www.freebase.com/baseball/baseball_player/position_s
503,_PLACEHOLDER_SUB_ <- nsubjpass <- fired -> agent -> by -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN NOUN,_PLACEHOLDER_SUB_ held record team _PLACEHOLDER_OBJ_,www.freebase.com/baseball/baseball_team/current_coaches
504,_PLACEHOLDER_OBJ_ <- npadvmod <- is -> attr -> player -> prep -> for -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is manager of _PLACEHOLDER_SUB_,www.freebase.com/baseball/baseball_team/current_manager
505,_PLACEHOLDER_SUB_ <- nsubj <- have -> dobj -> titles -> compound -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ have titles _PLACEHOLDER_OBJ_,www.freebase.com/baseball/baseball_team/division
506,_PLACEHOLDER_SUB_ <- nsubj <- finished -> conj -> coached -> dobj -> _PLACEHOLDER_OBJ_,VERB VERB NOUN,_PLACEHOLDER_SUB_ set records team _PLACEHOLDER_OBJ_,www.freebase.com/baseball/baseball_team/historical_coaches
507,_PLACEHOLDER_SUB_ <- nsubj <- appeared -> prep -> for -> pobj -> _PLACEHOLDER_OBJ_,VERB VERB NOUN,_PLACEHOLDER_SUB_ hired manage team _PLACEHOLDER_OBJ_,www.freebase.com/baseball/baseball_team/historical_managers
508,_PLACEHOLDER_SUB_ <- nsubj <- are -> attr -> members -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ are team in _PLACEHOLDER_OBJ_,www.freebase.com/baseball/baseball_team/league
509,_PLACEHOLDER_OBJ_ <- nsubjpass <- led -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is coach for _PLACEHOLDER_OBJ_,www.freebase.com/basketball/basketball_coach/team
510,_PLACEHOLDER_OBJ_ <- nsubj <- played -> conj -> won -> dobj -> championships -> prep -> with -> pobj -> _PLACEHOLDER_SUB_,VERB VERB NOUN ADP,_PLACEHOLDER_OBJ_ played won championships with _PLACEHOLDER_SUB_,www.freebase.com/basketball/basketball_player/player_statistics
511,_PLACEHOLDER_OBJ_ <- attr <- is -> conj -> are -> attr -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is player _PLACEHOLDER_OBJ_,www.freebase.com/basketball/basketball_player/position_s
512,_PLACEHOLDER_SUB_ <- nsubj <- compete -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP,_PLACEHOLDER_SUB_ compete in _PLACEHOLDER_OBJ_,www.freebase.com/basketball/basketball_team/conference
513,_PLACEHOLDER_OBJ_ <- nsubjpass <- named -> dobj -> coach -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ named coach of _PLACEHOLDER_SUB_,www.freebase.com/basketball/basketball_team/head_coach
514,_PLACEHOLDER_SUB_ <- nsubj <- coached -> conj -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ coached _PLACEHOLDER_OBJ_,www.freebase.com/basketball/basketball_team/previous_coaches
515,_PLACEHOLDER_SUB_ -> acl -> is -> attr -> breed -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ are breed of _PLACEHOLDER_OBJ_,www.freebase.com/biology/animal_breed/breed_of
516,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> breed -> amod -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is breed _PLACEHOLDER_OBJ_,www.freebase.com/biology/animal_breed/place_of_origin
517,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> gorilla -> acl -> housed -> prep -> at -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ was gorilla housed at _PLACEHOLDER_OBJ_,www.freebase.com/biology/deceased_organism/place_of_death
518,_PLACEHOLDER_OBJ_ <- nsubj <- has -> dobj -> sister -> prep -> through -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ born to _PLACEHOLDER_SUB_,www.freebase.com/biology/organism/children
519,_PLACEHOLDER_SUB_ -> acl -> is -> attr -> breed -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP,_PLACEHOLDER_SUB_ bred with _PLACEHOLDER_OBJ_,www.freebase.com/biology/organism/organism_type
520,_PLACEHOLDER_OBJ_ <- nsubj <- sired -> ccomp -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ sired _PLACEHOLDER_SUB_,www.freebase.com/biology/organism/parents
521,_PLACEHOLDER_SUB_ <- nsubj <- was -> prep -> from -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP,_PLACEHOLDER_SUB_ born at _PLACEHOLDER_OBJ_,www.freebase.com/biology/organism/place_of_birth
522,_PLACEHOLDER_OBJ_ <- attr <- is -> ccomp -> is -> nsubj -> _PLACEHOLDER_SUB_,VERB VERB,_PLACEHOLDER_OBJ_ is is _PLACEHOLDER_SUB_,www.freebase.com/biology/organism_classification/child_classifications
523,_PLACEHOLDER_OBJ_ -> acl -> classified -> prep -> as -> pobj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ are _PLACEHOLDER_SUB_,www.freebase.com/biology/organism_classification/higher_classification
524,_PLACEHOLDER_OBJ_ -> acl -> known -> advcl -> is -> nsubj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is rorqual after _PLACEHOLDER_SUB_,www.freebase.com/biology/organism_classification/lower_classifications
525,_PLACEHOLDER_OBJ_ -> acl -> assigned -> prep -> to -> pobj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ appears _PLACEHOLDER_SUB_,www.freebase.com/biology/organism_classification/rank
526,_PLACEHOLDER_SUB_ <- nsubjpass <- recognized <- ccomp <- recognized -> nsubj -> _PLACEHOLDER_OBJ_,NOUN VERB NOUN NOUN,_PLACEHOLDER_SUB_ subspecies is rank subordinate _PLACEHOLDER_OBJ_,www.freebase.com/biology/organism_classification_rank/higher_rank
527,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> racehorse -> compound -> _PLACEHOLDER_OBJ_,VERB ADV,_PLACEHOLDER_SUB_ is racehorse _PLACEHOLDER_OBJ_,www.freebase.com/biology/pedigreed_animal/breed
528,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> liner -> relcl -> sank -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ was liner sank in _PLACEHOLDER_OBJ_,www.freebase.com/boats/boat_disposition/location
529,_PLACEHOLDER_SUB_ <- dobj <- built <- relcl <- Harland <- nsubj <- propelled -> dobj -> _PLACEHOLDER_OBJ_,VERB PROPN VERB,_PLACEHOLDER_SUB_ built Harland propelled _PLACEHOLDER_OBJ_,www.freebase.com/boats/ship/place_built
530,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> battleship -> acl -> built -> agent -> by -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP,_PLACEHOLDER_SUB_ built by _PLACEHOLDER_OBJ_,www.freebase.com/boats/ship/ship_builder
531,_PLACEHOLDER_SUB_ -> ccomp -> is -> ccomp -> was -> nsubj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB,_PLACEHOLDER_SUB_ was class nicknamed _PLACEHOLDER_OBJ_,www.freebase.com/boats/ship/ship_class
532,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> class -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ was class of _PLACEHOLDER_OBJ_,www.freebase.com/boats/ship_class/ship_type
533,_PLACEHOLDER_OBJ_ -> ccomp -> is -> ccomp -> was -> nsubj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ is _PLACEHOLDER_SUB_,www.freebase.com/boats/ship_class/ships_in_class
534,_PLACEHOLDER_OBJ_ <- nsubjpass <- designed -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ designed by _PLACEHOLDER_SUB_,www.freebase.com/boats/ship_designer/boats_designed
535,_PLACEHOLDER_OBJ_ <- nsubj <- operates -> dobj -> ships -> appos -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_OBJ_ operates ships _PLACEHOLDER_SUB_,www.freebase.com/boats/ship_owner/ships_owned
536,_PLACEHOLDER_SUB_ <- nsubj <- became -> attr -> member -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP NOUN,_PLACEHOLDER_SUB_ was participant in movement _PLACEHOLDER_OBJ_,www.freebase.com/book/author/school_or_movement
537,_PLACEHOLDER_OBJ_ -> acl -> accredited -> prep -> to -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ accredited to _PLACEHOLDER_SUB_,www.freebase.com/book/author/series_written_or_contributed_to
538,_PLACEHOLDER_OBJ_ -> parataxis -> is -> attr -> anthology -> acl -> edited -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ edited by _PLACEHOLDER_SUB_,www.freebase.com/book/author/works_edited
539,_PLACEHOLDER_OBJ_ -> acl -> is -> attr -> book -> prep -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_OBJ_ are stories written by _PLACEHOLDER_SUB_,www.freebase.com/book/author/works_written
540,_PLACEHOLDER_OBJ_ <- nsubj <- appeared -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_OBJ_ are characters in play _PLACEHOLDER_SUB_,www.freebase.com/book/book/characters
541,_PLACEHOLDER_OBJ_ <- amod <- novel -> prep -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is book _PLACEHOLDER_OBJ_,www.freebase.com/book/book/genre
542,_PLACEHOLDER_SUB_ -> pobj -> was -> attr -> book -> poss -> _PLACEHOLDER_OBJ_,VERB ADP,_PLACEHOLDER_SUB_ illustrated by _PLACEHOLDER_OBJ_,www.freebase.com/book/book/interior_illustrations_by
543,_PLACEHOLDER_OBJ_ -> acl -> known -> prep -> as -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_OBJ_ features character _PLACEHOLDER_SUB_,www.freebase.com/book/book_character/appears_in_book
544,_PLACEHOLDER_SUB_ <- nsubjpass <- regarded -> prep -> as -> pobj -> character -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP PROPN,_PLACEHOLDER_SUB_ reappears in Mystery _PLACEHOLDER_OBJ_,www.freebase.com/book/book_character/appears_in_stories
545,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> memoir -> prep -> by -> pobj -> _PLACEHOLDER_SUB_,VERB ADP NOUN,_PLACEHOLDER_OBJ_ described as book _PLACEHOLDER_SUB_,www.freebase.com/book/book_subject/works
546,_PLACEHOLDER_SUB_ <- nsubj <- is -> xcomp -> remembered -> prep -> for -> pobj -> novella -> appos -> _PLACEHOLDER_OBJ_,VERB VERB ADP NOUN,_PLACEHOLDER_SUB_ is known for book _PLACEHOLDER_OBJ_,www.freebase.com/book/illustrator/books_illustrated
547,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> journal -> amod -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is journal _PLACEHOLDER_OBJ_,www.freebase.com/book/journal/discipline
548,_PLACEHOLDER_OBJ_ <- nsubj <- published -> dobj -> stories -> acl -> related -> prep -> to -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ was author of _PLACEHOLDER_SUB_,www.freebase.com/book/literary_series/author_s
549,_PLACEHOLDER_OBJ_ -> appos -> Return -> prep -> to -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is book in _PLACEHOLDER_SUB_,www.freebase.com/book/literary_series/works_in_this_series
550,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ is _PLACEHOLDER_OBJ_,www.freebase.com/book/magazine/genre
551,_PLACEHOLDER_SUB_ -> ccomp -> is -> attr -> newspaper -> acl -> published -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ had circulation in _PLACEHOLDER_OBJ_,www.freebase.com/book/newspaper/circulation_areas
552,_PLACEHOLDER_OBJ_ -> acl -> bought -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is newspaper _PLACEHOLDER_OBJ_,www.freebase.com/book/newspaper/owner
553,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> newspaper -> acl -> owned -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_OBJ_ is newspaper owned by _PLACEHOLDER_SUB_,www.freebase.com/book/newspaper_owner/newspapers_owned
